"address","attributes.ByAppointmentOnly","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state","attributes.BusinessAcceptsCreditCards","hours.Friday","hours.Monday","hours.Saturday","hours.Thursday","hours.Tuesday","hours.Wednesday","attributes.BikeParking","attributes.BusinessParking","attributes.Caters","attributes.CoatCheck","attributes.DogsAllowed","attributes.HappyHour","attributes.HasTV","attributes.OutdoorSeating","attributes.RestaurantsDelivery","attributes.RestaurantsPriceRange2","attributes.RestaurantsReservations","attributes.RestaurantsTakeOut","attributes.WheelchairAccessible","attributes.WiFi","hours.Sunday","attributes.Alcohol","attributes.GoodForKids","attributes.Ambience","attributes.DriveThru","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsTableService","attributes","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.GoodForDancing","attributes.Music","attributes.Smoking","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"3680 Walnut St",NA,"dRdpyxn506UOywojRIKLhg","Cinema, Jazz & Blues, Performing Arts, Arts & Entertainment, Nightlife, Music Venues","Philadelphia",NA,1,39.9528663845,-75.1963560467,"Penn Live Arts","19104",12,4,"PA","True","10:0-18:0","10:0-18:0","12:0-18:0","10:0-18:0","10:0-18:0","10:0-18:0","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,"False","True","False",NA,"2",NA,NA,NA,NA,NA,NA,"True","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,NA,NA,NA,NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11211 142 Street NW",NA,"y1YeZfdqNAhPFfJDiXdnDA","Active Life, Community Service/Non-Profit, Museums, Local Services, Cinema, Arts & Entertainment, Day Camps","Edmonton",NA,1,53.559876,-113.565634,"Telus World of Science","T5M 4A1",66,4,"AB",NA,"10:0-19:0","0:0-0:0","10:0-19:0","10:0-19:0",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:0-17:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10280 E Washington St",NA,"h7zxeLAdUyAO6S6UzXJDwA","Arts & Entertainment, Cinema","Indianapolis",NA,1,39.778732,-85.983582,"AMC Washington Square 12","46229",24,4,"IN",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 Carter Green","False","uUShztrFYFUivAfOePt8-w","Arts & Entertainment, Local Services, Community Service/Non-Profit, Education, Performing Arts, Cinema","Carmel",NA,1,39.9688147758,-86.1309269944,"Booth Tarkington Civic Theatre","46032",22,5,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1401 S Alvernon Way",NA,"D2TfxeZkZQHLRLCfjGVZeg","Cinema, Arts & Entertainment","Tucson",NA,0,32.2047149,-110.9090224,"De Anza Drive-In Theatre","85711",6,4.5,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10280 East Washington St",NA,"-c1VslLxAIYmSbIKUNq5zw","Arts & Entertainment, Cinema","Indianapolis",NA,0,39.778709,-85.983618,"AMC Showplace Washington Square 12","46229",18,3,"IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6701 Cinema Drive",NA,"XEWqCfR2vinrSpTL_fjblA","Cinema, Arts & Entertainment","Port Richey",NA,1,28.307541,-82.703343,"Regal Hollywood - Port Richey","34668",22,3.5,"FL",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129 N Narberth Ave",NA,"kbjFJop2XDWccnHWyIJq1A","Arts & Entertainment, Cinema","Narberth",NA,1,40.006474,-75.2601256,"Reel Cinemas Narberth 2","19072",27,3.5,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052 S Virginia St","False","ViYeIMLY_CJF9Z7N_-0KJA","Nightlife, Toy Stores, Flowers & Gifts, Cards & Stationery, Shopping, Arts & Entertainment, Fashion, Arts & Crafts, Adult Entertainment, Event Planning & Services, Adult, Cinema, Leather Goods","Reno",NA,1,39.5140661,-119.8071076,"Libido Adult Store & Theatre","89502",13,3,"NV","True","11:0-19:0","0:0-0:0","11:0-19:0","11:0-19:0","11:0-19:0","11:0-19:0","True","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",NA,"False","False","False","False","False","False",NA,NA,"False","True","u'no'","11:0-19:0","u'none'","False","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,"False",NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","u'no'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3701 Chestnut St","False","e1L7zxPnI9TeCqFexdstdw","Apartments, Home Services, Adult Education, Arts & Entertainment, Education, University Housing, Real Estate, Performing Arts, Cinema","Philadelphia",NA,1,39.9552474,-75.1969099,"International House Philadelphia","19104",27,3.5,"PA","True","9:0-22:0","9:0-22:0","9:0-22:0","9:0-22:0","9:0-22:0","9:0-22:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9:0-22:0",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 Bromley Blvd.",NA,"shDjtXKLRxVJ8WbRmzn_5A","Arts & Entertainment, Cinema","Burlington",NA,1,40.037687,-74.821845,"Regal Burlington","08016",24,2.5,"NJ",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371 S Hitchcock Way",NA,"PYMXmSkXMkVCbcDV3PxvjA","Cinema, Arts & Entertainment","Santa Barbara",NA,1,34.4346563,-119.7460824,"The Hitchcock Cinema & Public House - Metropolitan Theatres","93105",9,3.5,"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4811 E Grant Rd",NA,"RGkyjpmYrnV3OnrpZp9AfA","Arts & Entertainment, Cinema","Tucson",NA,0,32.2517041,-110.8901599,"Crossroads 6","85712",28,3.5,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18002 Highwoods Preserve Parkway","False","O3iMLiyTA_MVTnKXLZ-Fuw","Cinema, Arts & Entertainment","Tampa",NA,1,28.1306391867,-82.3704979767,"AMC Highwoods 20","33647",131,3,"FL",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121 Route 38",NA,"1MdSDNxlCzKmYMMHSccVrQ","Arts & Entertainment, Cinema","Cherry Hill",NA,1,39.936328,-75.028009,"AMC Cherry Hill 24","08002",240,2.5,"NJ",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,"u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1067 West Baltimore Pike",NA,"Y5PhEJ4pZ2Pp6LMa_lLe1Q","Arts & Entertainment, Cinema, Performing Arts","Media",NA,0,39.914556,-75.435677,"AMC Classic Granite Run Mall 8","19063",63,2.5,"PA",NA,"11:0-23:0","0:0-0:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22 Sir Winston Churchill Avenue, Unit 101",NA,"AESQSIG26hePM6RbKH0J2Q","Arts & Entertainment, Cinema","Staint Albert",NA,0,53.6293127,-113.6277828,"Grandin Theatres","T8N 1B4",8,2.5,"AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611 N Franklin St",NA,"BYfBlLIu9lp5GNcuN3k-vA","Arts & Entertainment, Party & Event Planning, Event Planning & Services, Cinema, Venues & Event Spaces","Tampa",NA,1,27.9494315,-82.4584548,"The Vault","33602",17,4,"FL","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4572 Lemay Ferry Rd",NA,"hw0O24rFx1BU5ZLlKBZYNg","Cinema, Arts & Entertainment","Saint Louis",NA,0,38.496951,-90.338226,"Keller Plaza Cinema","63129",35,3.5,"MO",NA,"10:0-22:30","10:0-22:30","10:0-22:30","10:0-22:30","10:0-22:30","10:0-22:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:0-22:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109 W Lancaster Ave",NA,"3M17mHgP11vp_3oWNCSYGg","Cinema, Arts & Entertainment","Wayne",NA,1,40.04414,-75.388444,"Reel Cinemas Anthony Wayne Theater","19087",27,3.5,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43 S Broadway","False","JBGmPq8haIiGguA-p8pK4A","Cinema, Arts & Entertainment, Performing Arts","Pitman",NA,1,39.732332,-75.13052,"Broadway Theatre of Pitman","08071",24,4,"NJ",NA,"8:0-16:0","8:0-16:0",NA,"8:0-16:0","8:0-16:0","8:0-16:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"u'free'",NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220 S 40th St",NA,"jxAJrIQ2JjjTs8ZzEytP-w","Nightlife, Arts & Entertainment, Cinema, Lounges, Bars","Philadelphia",NA,0,39.9534914,-75.2029562,"The Bridge: Cinema de Lux","19104",75,3,"PA","True",NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,"False",NA,"3",NA,NA,NA,NA,NA,"'full_bar'","True",NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120 Radcliffe St",NA,"s6duVnqs03AmLMZ1NSW7nw","Arts & Entertainment, Performing Arts, Cinema","Bristol",NA,1,40.0947913,-74.8557122,"Bristol Riverside Theatre","19007",11,4.5,"PA",NA,"9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9:0-21:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480 S Tibbs Ave",NA,"I9DaV_jfAqUkVcr4x2XhFQ","Arts & Entertainment, Cinema, Nightlife, Drive-In Theater","Indianapolis",NA,1,39.759303,-86.2178764,"Tibbs Drive-In Theatre","46241",110,4.5,"IN","True",NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"True",NA,"False","True",NA,"1",NA,NA,NA,"u'no'",NA,"u'none'","True","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"u'casual'","True",NA,NA,"u'quiet'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250 Victorian Ave",NA,"emmQsF1GSp9IjA5Z5a6ANA","Arts & Entertainment, Cinema","Sparks",NA,0,39.5365192,-119.7587266,"Century 14 Cinema","89431",34,3,"NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 Conestoga Rd",NA,"_dbUhD65cJnB133V-rBlWQ","Cinema, Performing Arts, Arts & Entertainment","Malvern",NA,1,40.044502,-75.5322646,"Peoples Light","19355",31,4,"PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6755 Page Ave",NA,"AuKcDOfJGvQUO7xlSn8n_Q","Arts & Entertainment, Cinema","Pagedale",NA,1,38.6747775,-90.3083167,"24:1 Cinema","63133",11,4,"MO",NA,"11:0-22:0","11:0-20:0","11:0-22:0","11:0-20:0","11:0-20:0","11:0-20:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-20:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5074 130th Avenue NW",NA,"cALFqUQVa7pCl_Ji5rUJsw","Cinema, Arts & Entertainment","Edmonton",NA,1,53.5909721,-113.4210295,"Cinema City Movies 12","T5A 5A9",27,3,"AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5870 E Broadway Blvd, Ste 3006",NA,"k2S_PFKMbkfVBRAy2e8QZg","Venues & Event Spaces, Cinema, Arts & Entertainment, Event Planning & Services","Tucson",NA,1,32.218406,-110.865934,"Century Park Place 20 and XD","85711",93,3.5,"AZ","True",NA,NA,NA,NA,NA,NA,NA,NA,"False","False",NA,"False",NA,"False","False",NA,NA,"False","True",NA,NA,"u'beer_and_wine'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711 N Franklin St","False","9IXjieBjg-i4G6vfailfbg","Arts & Entertainment, Cinema, Music Venues, Nightlife, Venues & Event Spaces, Event Planning & Services","Tampa",NA,1,27.950374,-82.458808,"Tampa Theatre","33602",220,4.5,"FL","True","19:0-20:0","19:0-20:0","14:0-20:0","19:0-20:0","19:0-20:0","19:0-20:0","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"False",NA,"False","False",NA,"2",NA,NA,NA,NA,"14:0-17:30","u'beer_and_wine'","True","{'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"True",NA,NA,"u'average'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30 Saint Louis Galleria",NA,"bAUQSI186koK1aP8k3z9Ug","Cinema, Venues & Event Spaces, Arts & Entertainment, Event Planning & Services","Saint Louis",NA,1,38.636629,-90.348493,"Galleria 6 Cinemas","63117",50,3.5,"MO","True","10:0-22:0","10:0-20:0","10:0-22:0","10:0-20:0","10:0-20:0","10:0-20:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True","u'no'","10:0-20:0","u'beer_and_wine'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2955 Commercial Way",NA,"YKONX2W-AIfl8WqhBYrHOQ","Arts & Entertainment, Cinema","Spring Hill",NA,1,28.475829,-82.617715,"Touchstar Cinemas - Spring Hill 8","34606",38,4,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
